################
# QIE data reading from LabVIEW interface
# Data taken on: Oct 30th, 2016
# Update period: 1 second
# A, B, C, D
324, 259, 325, 269
335, 269, 303, 272
310, 272, 347, 258
322, 252, 312, 249
366, 252, 313, 255
351, 266, 334, 254
384, 271, 305, 279
326, 283, 309, 217
304, 284, 307, 268
350, 246, 312, 220
316, 269, 305, 255
333, 270, 327, 268
328, 278, 360, 276
343, 274, 300, 256
311, 242, 329, 259
321, 230, 332, 268
296, 259, 301, 245
356, 260, 322, 262
306, 246, 334, 275
333, 259, 301, 256
356, 271, 317, 223
320, 254, 338, 269
297, 238, 333, 234
328, 265, 349, 262
344, 257, 321, 271
333, 252, 326, 256
306, 235, 334, 238
346, 241, 352, 292
359, 263, 298, 246
351, 247, 319, 267
308, 267, 290, 256
335, 239, 326, 267
360, 250, 324, 284
309, 258, 298, 242
344, 252, 342, 257
346, 277, 300, 276
334, 258, 333, 238
341, 219, 288, 253
288, 258, 309, 270
374, 265, 346, 251
314, 257, 321, 260
334, 269, 308, 269
348, 267, 344, 209
327, 239, 333, 256
308, 257, 301, 273
320, 273, 315, 265
343, 247, 348, 244
337, 290, 319, 227
334, 262, 335, 248
320, 223, 342, 277
322, 238, 316, 306
361, 230, 288, 283
325, 248, 321, 322
336, 238, 323, 267
366, 242, 346, 262
331, 243, 315, 244
333, 271, 313, 275
317, 249, 308, 251
315, 271, 313, 221
355, 281, 322, 249
364, 272, 323, 290
325, 257, 337, 262
352, 267, 317, 264
285, 243, 283, 249
335, 246, 322, 248
340, 267, 324, 274
332, 271, 323, 233
300, 273, 316, 276
323, 265, 319, 283
331, 265, 347, 291
326, 260, 319, 272
331, 284, 322, 241
330, 284, 359, 224
333, 293, 299, 255
357, 283, 327, 251
313, 243, 344, 212
